Eurovoc_term	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79
X6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
edf	0.14	-0.002	0.006	0.041	-0.003	0.004	-0.003	0	-0.015	-0.014	0.01	0.001	-0.005	-0.002	0.013	-0.003	-0.008	-0.007	-0.01	0.073	-0.003	0.035	-0.008	0.015	-0.001	-0.004	0.065	0.001	-0.002	-0.004	-0.001	-0.008	-0.003	-0.004	-0.003	-0.003	-0.003	-0.005	-0.003	-0.003	-0.004	-0.01	-0.002	0.017	-0.003	-0.011	-0.002	-0.004	-0.002	-0.003	-0.005	0.085	-0.002	-0.006	0.06	0.004	-0.001	0.008	-0.015	-0.005	-0.008	-0.008	-0.006	-0.006	-0.001	-0.003	-0.014	-0.004	-0.001	-0.003	-0.003	0.069	-0.004	-0.003	-0.007	-0.002	-0.001	-0.004	-0.006	-0.011
eur	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
foundation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
improvement	0.078	-0.003	0.007	-0.01	-0.004	-0.004	-0.003	-0.005	-0.005	-0.018	0.014	-0.003	-0.006	-0.003	-0.002	-0.003	0.02	-0.005	0.002	-0.003	-0.003	0.006	-0.01	-0.005	-0.001	0.008	-0.003	0.004	-0.003	-0.005	-0.002	-0.01	0.012	-0.005	-0.004	0.002	0.003	-0.007	-0.003	0.008	-0.002	-0.012	-0.003	-0.006	-0.004	-0.013	-0.002	-0.002	-0.002	-0.004	-0.006	0.002	-0.003	0.002	0.06	0.006	-0.001	-0.007	-0.015	-0.007	0.001	-0.011	-0.003	-0.008	-0.001	-0.004	-0.017	0.003	-0.001	0.013	-0.003	-0.003	0.012	-0.004	0	-0.003	0.03	-0.006	-0.008	0.049
living	0.123	-0.002	0.01	-0.008	-0.003	-0.001	-0.002	-0.004	-0.011	-0.015	0.018	-0.003	-0.005	-0.002	-0.002	0	-0.007	-0.004	0.042	-0.002	0	0.004	0.002	-0.003	-0.001	0.038	0.006	0.001	-0.002	-0.004	-0.001	-0.009	-0.003	-0.004	-0.003	0.001	0.003	-0.005	0.012	-0.004	-0.004	-0.011	-0.002	0	-0.004	-0.007	-0.002	0	-0.002	0	-0.005	0.003	0.002	-0.005	0.01	0.009	-0.001	-0.005	-0.012	-0.004	-0.009	-0.009	-0.004	-0.007	-0.001	0.003	-0.013	0.003	-0.001	0.04	-0.003	-0.002	0.175	0.001	0.01	0.01	-0.001	-0.005	-0.007	-0.004
cedefop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
southern	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
basis	0.005	0.031	0.015	0.004	0.002	-0.003	0.002	0.072	-0.015	-0.016	-0.003	-0.003	-0.001	-0.002	-0.007	-0.003	-0.019	0.003	0.035	-0.001	-0.003	-0.009	-0.01	-0.005	-0.001	0.019	-0.003	0.04	-0.003	-0.005	-0.002	0.012	0.049	0.007	-0.004	-0.004	-0.004	0.001	-0.003	0.212	-0.001	-0.004	-0.002	0.015	-0.004	-0.012	-0.002	-0.003	-0.002	-0.003	-0.006	0.006	-0.003	-0.004	-0.002	0.004	0.018	-0.006	-0.003	0.015	-0.01	-0.01	0.055	-0.008	-0.001	-0.003	-0.017	0	-0.001	0	-0.003	-0.003	0.001	-0.004	0.001	-0.003	0.188	-0.006	-0.008	-0.017
decision	0.003	-0.002	0.021	0.011	-0.003	0.172	0	0.046	-0.014	-0.009	-0.002	-0.002	-0.004	-0.002	-0.005	0.009	-0.01	-0.006	-0.006	-0.002	0.075	-0.007	-0.008	-0.002	-0.001	-0.004	-0.002	0.024	-0.002	-0.002	-0.001	0.002	-0.002	-0.004	-0.003	-0.003	-0.003	-0.005	0.026	-0.003	-0.003	-0.008	-0.002	-0.004	-0.003	0.013	0.025	-0.001	-0.001	0.004	0.008	0.001	-0.002	-0.002	-0.007	0.001	-0.001	0.004	-0.009	-0.005	-0.006	-0.007	-0.006	-0.002	-0.001	0.068	-0.013	-0.004	-0.001	-0.003	-0.003	-0.002	-0.003	-0.003	0.007	-0.002	-0.001	-0.004	-0.006	-0.012
treaty	0.009	0.016	0.067	0.013	-0.005	-0.007	-0.003	0.038	-0.032	-0.006	-0.003	-0.005	-0.006	-0.004	-0.007	0.005	0.021	0.022	0.057	0.01	-0.005	0.002	-0.018	0.005	-0.001	-0.008	-0.006	0.015	-0.002	-0.009	-0.003	-0.005	-0.006	-0.008	0.046	-0.007	0.056	-0.012	-0.005	-0.007	0.002	-0.022	-0.003	-0.003	-0.006	-0.02	0.075	0.037	-0.003	-0.007	-0.011	0.032	-0.001	0.066	0.023	0.041	0.017	-0.008	-0.028	-0.007	-0.014	-0.015	-0.002	-0.015	-0.002	-0.006	-0.001	0.008	-0.002	0.001	-0.006	0.01	-0.008	-0.003	0.026	0.003	0.125	-0.01	-0.014	0.034
iceland	-0.005	-0.003	-0.003	0.089	-0.004	-0.004	0.001	0.123	-0.019	-0.002	0.004	-0.003	-0.006	-0.002	-0.007	-0.003	-0.009	0.008	0.003	-0.003	-0.002	-0.005	-0.01	-0.005	-0.001	-0.003	-0.003	-0.008	-0.003	-0.005	-0.002	-0.002	-0.003	-0.005	-0.004	-0.004	-0.004	0.009	-0.003	-0.004	-0.004	-0.013	-0.003	-0.004	-0.004	-0.007	-0.002	-0.007	-0.002	-0.004	-0.006	-0.003	-0.003	0.031	-0.009	-0.005	-0.001	-0.006	-0.016	0.015	-0.01	-0.01	-0.008	0.015	-0.001	-0.003	0.033	0.002	-0.001	-0.004	-0.003	-0.003	-0.005	-0.004	0.005	-0.003	0.014	-0.005	-0.008	-0.003
norway	-0.012	-0.005	-0.005	0.082	-0.006	-0.007	-0.003	0.059	0.02	-0.012	-0.001	-0.002	-0.01	-0.004	-0.011	-0.006	0	-0.006	-0.003	-0.004	-0.006	-0.012	-0.017	-0.008	-0.001	-0.008	0	0.002	-0.002	-0.009	-0.003	-0.013	0	-0.009	-0.007	-0.008	-0.007	0.036	-0.006	0.002	0.186	-0.023	-0.004	-0.003	-0.007	-0.004	-0.004	-0.011	0.043	-0.007	-0.011	-0.005	-0.004	-0.01	-0.016	-0.007	-0.003	-0.003	-0.027	-0.008	-0.016	-0.012	-0.013	0.071	0.002	-0.006	0.037	-0.002	-0.002	-0.002	-0.006	-0.005	-0.006	-0.006	0	-0.005	0.007	-0.005	-0.014	-0.021
border	0.01	0.029	-0.002	0.02	-0.005	0.012	0.004	0.284	-0.029	-0.026	-0.004	0.009	-0.006	0.014	0.008	-0.003	-0.028	0.02	0.012	0.003	-0.004	0.072	-0.016	0.002	-0.001	-0.008	-0.005	0.017	-0.004	-0.008	0.002	0.005	-0.003	-0.004	-0.006	-0.004	0	0.014	-0.005	-0.005	-0.005	-0.02	0.003	-0.002	-0.004	0.03	-0.004	0.012	0.007	0.001	-0.004	-0.004	-0.004	0.037	0.05	0.007	-0.002	0.038	-0.015	0.019	-0.004	-0.016	-0.008	-0.011	-0.001	-0.005	-0.024	0.012	-0.001	-0.002	-0.002	-0.004	-0.007	-0.001	-0.004	-0.004	-0.002	0	-0.012	-0.032
supervisory	0.011	-0.002	0.006	-0.005	-0.003	0.015	0.015	0.017	-0.014	-0.012	-0.002	0.035	-0.002	0.003	0.001	-0.002	-0.001	-0.006	0.019	-0.002	-0.003	0.016	-0.005	0.011	-0.001	-0.004	-0.002	0.014	-0.002	-0.002	-0.001	0.009	-0.002	0.008	-0.003	-0.003	-0.003	0.017	-0.002	0.009	-0.002	-0.01	-0.002	-0.004	-0.003	-0.009	-0.002	0.001	-0.001	-0.003	-0.005	-0.002	0.059	0.001	-0.007	0.023	-0.001	-0.005	0.022	-0.002	-0.003	-0.008	0.032	-0.005	0.024	-0.003	-0.013	-0.004	-0.001	0.009	-0.003	-0.002	-0.003	-0.003	0.016	-0.002	-0.001	0.002	-0.006	-0.014
terrorism	-0.01	-0.006	0.009	-0.013	-0.008	-0.009	-0.007	0.045	-0.041	-0.037	-0.006	0.013	0.007	0.027	-0.012	-0.007	-0.043	-0.016	0.191	-0.006	0.743	0.004	-0.022	0.004	-0.002	-0.008	-0.007	-0.009	-0.006	-0.006	-0.004	0.009	-0.004	-0.006	-0.009	-0.009	-0.009	-0.011	0.383	-0.008	0.002	-0.028	-0.005	0.019	-0.004	-0.03	0.001	-0.014	-0.004	0.01	-0.014	-0.006	0.01	-0.016	-0.018	0.008	0.008	0.093	-0.04	0.027	-0.023	-0.023	-0.014	-0.017	-0.002	0.147	-0.028	-0.011	-0.002	0.001	0.33	-0.006	-0.01	-0.007	0.017	-0.003	-0.003	-0.01	-0.017	-0.046
palestinian	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
question	0.001	-0.002	-0.003	-0.002	-0.003	-0.003	-0.003	0.074	-0.01	0.003	-0.002	-0.002	-0.005	0.005	0	-0.003	-0.008	-0.007	0.011	0.012	-0.003	0.035	-0.008	0	-0.001	-0.004	0.001	0.009	-0.002	-0.004	0.004	-0.008	-0.003	-0.004	-0.003	-0.003	-0.003	-0.005	-0.003	-0.003	-0.004	-0.01	-0.002	-0.001	-0.003	-0.011	-0.002	-0.005	-0.002	0.133	-0.005	-0.002	-0.002	0.008	0.004	-0.004	-0.001	0.104	-0.014	0	-0.007	-0.008	-0.006	-0.007	-0.001	-0.003	-0.014	0.006	-0.001	-0.003	-0.003	-0.002	-0.004	-0.003	-0.007	-0.002	-0.001	-0.005	-0.006	-0.011
fleet	-0.005	-0.003	-0.001	-0.008	-0.005	-0.005	0.104	-0.006	-0.021	-0.023	-0.003	0.001	-0.008	0.006	0.011	-0.004	0.002	-0.007	0.011	-0.002	-0.004	-0.003	-0.012	-0.002	-0.001	0.005	0	0.018	0.001	-0.007	-0.002	0.025	-0.004	-0.003	0.01	-0.005	-0.002	0.028	-0.004	-0.002	-0.003	-0.016	-0.003	-0.005	0.005	-0.016	-0.003	0.011	-0.003	-0.005	-0.008	-0.003	0.001	-0.001	0.022	-0.006	-0.002	-0.008	-0.021	-0.001	-0.013	-0.013	-0.005	0.12	-0.001	-0.005	-0.021	0.034	-0.001	-0.001	-0.005	-0.004	0.001	-0.003	0.004	-0.004	-0.002	-0.008	-0.01	0.004
white	-0.041	-0.013	-0.018	-0.049	-0.018	-0.021	-0.017	-0.023	0.092	-0.019	-0.012	-0.015	-0.029	-0.013	-0.033	-0.013	0.028	-0.031	-0.068	-0.014	-0.017	-0.047	-0.049	-0.027	-0.004	-0.027	-0.015	-0.06	-0.014	-0.025	-0.009	-0.051	-0.016	-0.026	-0.021	-0.022	-0.02	-0.034	-0.017	-0.022	-0.02	0.093	-0.013	-0.028	-0.021	-0.069	-0.012	-0.023	-0.01	-0.02	-0.032	-0.013	-0.014	-0.032	-0.044	-0.027	-0.007	-0.033	-0.092	-0.033	-0.051	0.804	-0.032	-0.042	-0.004	-0.014	0.148	-0.025	-0.004	-0.021	-0.001	-0.014	-0.024	-0.018	-0.033	-0.014	-0.006	0.047	0.083	-0.055
minimum	-0.023	-0.005	-0.01	-0.026	-0.01	-0.012	-0.012	-0.013	0.197	-0.037	-0.007	-0.008	-0.016	-0.007	-0.019	-0.009	0.094	-0.007	-0.043	-0.008	-0.01	-0.02	-0.029	-0.015	-0.002	-0.013	-0.007	-0.04	-0.005	-0.014	-0.005	-0.028	-0.008	-0.014	-0.012	-0.012	-0.011	-0.019	-0.009	-0.012	-0.008	0.262	-0.007	-0.016	-0.012	-0.002	-0.007	-0.014	-0.005	-0.012	-0.018	-0.007	-0.008	-0.023	-0.026	-0.014	-0.004	-0.018	-0.052	-0.019	0.004	-0.014	-0.023	-0.023	-0.002	-0.01	-0.05	-0.014	-0.002	-0.012	-0.01	-0.008	-0.013	-0.01	-0.017	-0.008	-0.003	-0.017	-0.023	0.008
floor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
covering	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fire	0.001	-0.003	-0.004	-0.004	0.014	0.015	-0.004	-0.005	-0.019	-0.017	-0.003	0.001	-0.006	-0.003	0.001	-0.003	-0.005	-0.009	-0.011	0	-0.003	-0.002	-0.01	-0.003	-0.001	0.2	0.029	0.039	-0.003	-0.005	-0.002	-0.01	-0.003	0.034	-0.002	-0.001	-0.004	0.001	-0.003	-0.004	0.009	-0.013	-0.003	-0.006	0.002	-0.014	-0.002	0.003	-0.002	-0.004	-0.007	-0.003	-0.003	-0.009	0.026	-0.004	-0.002	0.01	0.042	-0.005	-0.003	-0.011	-0.008	-0.004	-0.001	-0.004	-0.018	0.008	-0.001	-0.004	-0.004	-0.003	0.01	0.001	-0.009	-0.003	-0.001	-0.006	-0.008	-0.02
transit	-0.004	-0.003	-0.004	0.083	-0.004	-0.005	0.022	0.04	-0.022	-0.017	-0.003	-0.001	-0.007	0.009	-0.008	-0.004	-0.001	0.001	0.036	-0.003	-0.003	-0.008	-0.011	0.008	-0.001	0	-0.004	-0.007	-0.003	0	-0.002	-0.007	0.24	0.03	0.012	-0.005	-0.005	0.003	-0.004	-0.005	0.002	-0.015	-0.003	-0.006	-0.005	0.032	0.006	-0.008	-0.002	-0.004	-0.007	-0.003	-0.003	0.007	-0.011	-0.003	-0.002	-0.005	-0.004	-0.002	-0.012	-0.012	-0.008	-0.01	-0.001	-0.004	-0.012	-0.006	-0.001	0.003	-0.004	-0.003	-0.005	0.025	0.01	-0.003	-0.001	0.048	-0.009	-0.018
road	0.003	-0.004	-0.004	0.015	0.002	-0.003	0.266	-0.001	-0.016	-0.024	-0.004	-0.003	-0.008	0.02	-0.009	0.006	-0.007	0.007	0.025	-0.004	0.001	-0.009	-0.013	-0.004	-0.001	0.057	-0.004	0.008	-0.004	0.002	-0.002	0.006	0.063	0.307	-0.006	0.011	-0.006	0	-0.005	0.016	0.046	-0.018	-0.004	0.003	-0.004	-0.016	-0.003	0	0	-0.006	-0.003	0.006	-0.001	-0.008	-0.013	0.011	0.021	-0.009	0.018	-0.009	-0.015	-0.014	0.004	-0.011	-0.001	-0.005	-0.022	-0.003	-0.001	0.023	-0.005	-0.004	-0.001	0.009	0.011	-0.004	-0.002	-0.008	-0.009	-0.019
tradeable	-0.001	0.024	-0.004	0.075	-0.004	-0.004	0.01	-0.005	-0.018	-0.016	-0.003	0.001	0	-0.003	-0.007	-0.003	-0.026	-0.009	0.007	0.002	-0.003	-0.003	-0.011	0.007	-0.001	-0.001	-0.003	-0.005	-0.003	-0.005	-0.002	0.006	0.146	0.029	-0.004	0.228	-0.004	0.023	-0.003	0.007	0.051	-0.013	-0.003	-0.006	-0.004	-0.014	-0.002	-0.002	-0.002	-0.004	-0.007	-0.003	-0.003	-0.006	-0.01	-0.005	-0.002	-0.007	0.009	-0.007	-0.011	-0.01	0.012	-0.009	-0.001	-0.004	-0.017	-0.005	-0.001	-0.004	-0.004	-0.003	-0.005	0.004	-0.001	0.003	-0.001	0.046	-0.008	0.006
emission	0.006	0.016	-0.005	0.05	-0.005	-0.006	0.006	-0.006	-0.025	-0.023	-0.004	-0.002	0.004	-0.004	-0.01	-0.005	-0.041	-0.012	0.024	-0.001	-0.005	-0.004	-0.015	0.002	-0.001	0.109	-0.005	0	-0.004	-0.007	-0.003	-0.003	0.12	0.03	-0.006	0.442	-0.005	0.033	-0.005	0.035	0.051	-0.019	-0.004	-0.008	-0.006	-0.02	-0.003	0.004	-0.003	-0.005	-0.009	0.001	-0.004	-0.011	-0.012	-0.003	-0.002	-0.009	0.023	-0.007	-0.015	-0.014	0.012	-0.012	-0.001	-0.005	-0.025	-0.006	-0.001	-0.004	-0.005	-0.004	-0.007	0.002	-0.007	0	-0.002	0.028	-0.011	-0.005
permit	-0.007	0.015	0	0.095	-0.005	-0.005	0.004	0.119	-0.027	-0.024	-0.004	-0.002	-0.004	-0.004	-0.009	-0.005	-0.036	-0.007	0.054	-0.001	-0.004	-0.009	-0.013	0.001	-0.001	-0.003	-0.005	-0.005	-0.004	-0.004	-0.003	-0.004	0.099	0.017	-0.006	0.155	-0.003	0.017	-0.001	0.001	0.032	-0.019	-0.004	-0.004	-0.006	-0.02	-0.004	-0.006	-0.003	-0.002	-0.009	-0.004	-0.004	-0.004	-0.013	0.025	-0.002	-0.004	-0.005	0.001	-0.016	-0.013	0.021	0.033	0.005	-0.005	-0.025	-0.007	-0.001	-0.003	-0.005	-0.004	0.007	0	0.001	0.013	-0.002	0.037	-0.012	-0.011
fine	0.001	0.016	-0.002	0.002	0.025	0.051	0.001	-0.003	-0.005	-0.012	-0.002	0.03	-0.004	0.003	-0.005	0.067	0.017	-0.004	0.011	-0.002	-0.002	0	-0.007	0.012	0	0.007	-0.002	0.009	0.014	-0.003	-0.001	-0.004	-0.002	-0.003	-0.003	0.009	-0.003	-0.002	-0.002	0.007	0.013	-0.001	0.002	0.002	0.003	-0.009	-0.002	-0.005	-0.001	-0.003	0.003	0.005	-0.002	-0.006	-0.006	0	-0.001	-0.004	-0.011	0.004	-0.006	-0.007	0.028	-0.006	0.014	-0.002	-0.012	0	-0.001	-0.003	-0.002	-0.002	-0.003	0.005	0.082	-0.002	-0.001	-0.004	-0.005	-0.014
maritime	0.021	-0.004	-0.003	-0.006	0.002	-0.001	0.13	0.049	-0.028	-0.028	0.013	0.017	-0.004	-0.002	-0.009	-0.005	-0.024	-0.014	0.05	-0.004	-0.005	0.076	-0.013	-0.008	-0.001	0.003	0.011	0.005	0.023	-0.007	-0.003	-0.003	-0.005	0.1	-0.007	0.004	-0.005	0.2	-0.005	-0.002	0.026	-0.021	-0.004	0.001	-0.007	-0.019	-0.004	-0.005	-0.003	-0.003	-0.01	0.015	-0.005	-0.001	0.006	0.038	-0.002	0.016	0.004	-0.003	-0.017	-0.015	0.063	0.012	0.01	-0.006	-0.005	0.019	-0.001	0.074	-0.001	-0.005	-0.002	-0.005	0.007	0.046	-0.002	-0.006	-0.011	-0.031
carrier	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
leucosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
brucellosis	-0.006	-0.002	-0.003	-0.007	-0.003	-0.003	0.02	-0.003	-0.015	-0.013	-0.002	-0.002	-0.004	-0.002	0.018	-0.003	-0.006	-0.005	-0.012	-0.002	-0.003	-0.007	-0.008	-0.004	-0.001	-0.004	-0.002	-0.009	-0.002	-0.004	-0.001	0.005	0.002	-0.004	-0.003	-0.003	0.002	-0.005	-0.003	-0.003	-0.003	-0.01	-0.002	-0.004	-0.003	0.107	-0.002	-0.005	-0.001	-0.003	-0.005	-0.002	-0.002	-0.007	-0.007	-0.004	-0.001	-0.005	0.003	0.016	-0.008	-0.008	-0.006	-0.006	-0.001	-0.003	-0.014	-0.004	-0.001	-0.003	-0.003	-0.002	-0.004	-0.003	0.013	-0.002	-0.001	-0.004	-0.006	-0.017
tuberculosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
capacity	0.014	-0.002	-0.003	-0.009	0.002	0.002	0.036	-0.004	-0.018	-0.017	-0.002	0.012	-0.005	-0.002	-0.003	-0.003	0.005	-0.008	0.008	-0.003	-0.003	-0.002	-0.007	-0.004	-0.001	-0.005	-0.003	0.038	-0.003	-0.005	-0.002	0.019	0.026	0.01	-0.004	-0.001	-0.004	0.01	-0.003	-0.004	-0.004	-0.012	-0.002	-0.005	-0.001	-0.009	-0.002	-0.006	-0.002	-0.004	0.11	-0.002	-0.003	0.003	-0.002	0.013	0.032	-0.004	0.003	0.009	0.019	-0.01	0.005	-0.006	0.108	-0.003	-0.016	0.012	-0.001	0.007	-0.003	-0.003	-0.003	0.127	-0.003	-0.003	-0.001	-0.006	-0.008	0.007
exercise	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
executive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
concrete	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
adhesive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
heating	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
piping	-0.008	-0.003	-0.004	-0.011	-0.004	-0.005	-0.003	-0.005	0.06	-0.011	-0.003	0.01	-0.006	0.051	-0.008	-0.004	-0.001	-0.008	0.034	-0.003	-0.004	-0.009	-0.008	-0.005	-0.001	0.006	-0.004	-0.007	-0.003	0.048	-0.002	-0.012	-0.004	-0.002	0.165	-0.003	-0.004	-0.007	-0.004	-0.002	0.152	-0.015	-0.003	0.015	-0.005	-0.015	0.001	0.001	-0.002	-0.005	-0.007	-0.003	0.018	0.007	-0.01	-0.005	-0.002	-0.007	-0.018	-0.008	-0.012	0.043	-0.009	-0.009	-0.001	-0.004	-0.003	-0.006	-0.001	-0.005	0.004	-0.003	-0.005	-0.004	0.021	-0.003	-0.001	0.021	-0.009	-0.023
cultural	0.003	-0.002	0	0.017	0.003	-0.004	-0.004	-0.001	-0.014	-0.015	-0.002	-0.003	-0.001	-0.002	0.012	0.016	-0.01	0.006	-0.002	0.038	-0.003	0.027	-0.009	-0.005	-0.001	-0.005	-0.003	0.036	-0.002	0.001	0.592	-0.001	-0.003	-0.005	-0.004	-0.004	0.034	-0.005	-0.002	-0.004	-0.004	-0.012	0.004	-0.004	-0.004	0.005	0.026	0.021	-0.002	-0.003	-0.005	0.013	0.002	-0.001	0.012	0.004	-0.001	-0.006	-0.01	-0.002	-0.01	-0.01	-0.002	-0.008	-0.001	0	-0.01	0.055	-0.001	0.013	-0.003	0.012	0.017	0.001	-0.008	0.043	-0.001	0	-0.007	-0.02
literature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
translation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
art	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
heritage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
