Eurovoc_term	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119
chartering	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
calcium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
revaluation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
durum	0.028	-0.003	0.013	-0.003	-0.005	-0.007	-0.004	-0.006	-0.006	0	-0.005	-0.003	0.012	-0.003	-0.004	-0.001	0.002	-0.003	-0.002	-0.007	-0.006	-0.001	-0.007	-0.005	-0.01	-0.025	-0.005	-0.002	-0.004	-0.004	-0.001	-0.004	-0.002	-0.002	-0.002	0	-0.004	-0.004	-0.003	-0.004	-0.003	-0.002	-0.001	-0.004	-0.003	-0.017	-0.006	-0.003	-0.003	-0.005	-0.001	0.003	0	0.065	0.09	-0.003	-0.002	-0.005	-0.001	-0.007	-0.003	-0.001	-0.005	-0.002	-0.001	-0.002	0.004	-0.002	-0.003	-0.006	-0.004	-0.002	-0.004	-0.003	-0.004	-0.008	-0.006	-0.002	-0.002	-0.003	-0.008	-0.013	-0.005	0.015	-0.01	-0.003	-0.005	-0.001	-0.004	-0.004	-0.002	-0.001	-0.004	-0.01	-0.005	-0.003	-0.004	-0.002	-0.004	-0.005	-0.01	-0.007	-0.007	-0.003	-0.003	-0.005	-0.002	-0.006	-0.004	-0.002	-0.004	-0.005	-0.005	-0.001	-0.001	0	-0.001	-0.003	-0.002	-0.002
behaviour	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fortified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sparkling	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
recovery	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
libya	-0.026	-0.004	-0.005	-0.004	-0.006	-0.009	0.084	-0.008	0.163	-0.007	-0.007	-0.001	-0.012	-0.003	-0.005	0.001	-0.003	-0.004	-0.003	-0.007	-0.008	-0.001	-0.009	-0.007	-0.017	-0.041	-0.006	-0.003	0.015	0.008	-0.01	-0.005	-0.003	-0.002	-0.008	-0.001	-0.003	-0.003	0.113	-0.006	-0.004	-0.001	-0.002	-0.006	-0.006	-0.009	-0.008	0.002	-0.003	0.145	-0.002	-0.002	-0.001	0.068	-0.017	-0.004	-0.003	-0.007	-0.001	-0.003	-0.004	-0.001	0.011	-0.003	-0.002	-0.003	-0.013	-0.003	-0.005	-0.008	-0.006	-0.002	0.506	-0.004	0.009	-0.01	-0.008	-0.002	-0.003	-0.008	-0.002	-0.018	-0.007	-0.009	-0.014	-0.004	0.026	-0.002	0.002	0	-0.002	-0.008	-0.005	-0.013	0.014	0.003	-0.005	-0.003	-0.005	-0.007	-0.014	-0.01	-0.006	0.029	-0.001	0.047	-0.002	-0.008	-0.002	-0.003	-0.005	-0.005	-0.006	-0.001	-0.002	-0.001	-0.001	-0.004	-0.002	0.011
resolution	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abandoned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
grubbing	-0.013	-0.002	-0.003	-0.002	-0.004	0.04	-0.003	-0.005	-0.001	-0.004	-0.004	0.003	-0.008	0.002	-0.003	-0.001	-0.003	0.036	0.049	-0.006	-0.005	-0.001	-0.006	-0.002	-0.01	0.034	-0.004	-0.002	-0.004	-0.009	-0.007	-0.003	0.057	-0.001	-0.005	0	-0.004	-0.003	-0.002	-0.003	-0.002	-0.002	0.011	-0.004	-0.005	0.007	-0.005	-0.002	-0.002	-0.004	-0.001	-0.001	0	-0.006	-0.01	-0.001	-0.002	-0.004	-0.001	-0.005	-0.002	-0.001	-0.004	-0.002	-0.001	-0.002	0.002	0.066	-0.003	-0.004	-0.003	-0.001	-0.003	-0.002	-0.003	0.055	-0.005	-0.001	-0.002	-0.005	0.03	-0.011	0.07	0.018	-0.008	-0.002	-0.004	-0.001	-0.003	-0.003	-0.001	-0.005	-0.003	-0.008	-0.004	-0.003	0.018	-0.002	-0.003	-0.004	0.002	-0.006	0	-0.002	-0.002	-0.004	-0.001	-0.005	-0.003	-0.002	0.022	-0.004	-0.004	-0.001	-0.001	0	-0.001	-0.003	-0.001	-0.002
offshore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
leaf	0.05	-0.003	-0.004	-0.003	0.01	0.021	-0.004	-0.001	-0.009	-0.004	-0.001	-0.003	0.022	0.001	-0.004	-0.002	-0.003	0.064	-0.002	-0.007	-0.006	-0.001	-0.008	-0.006	-0.014	-0.01	-0.005	-0.002	-0.005	0.011	-0.009	-0.004	-0.002	-0.002	-0.006	0	-0.005	0.001	-0.003	-0.005	-0.003	-0.002	-0.002	-0.005	-0.006	-0.021	-0.006	-0.003	-0.003	-0.005	-0.002	-0.001	0	-0.008	-0.013	0.001	-0.002	0.032	-0.001	-0.009	-0.003	-0.001	-0.005	-0.003	-0.001	-0.002	-0.011	-0.003	-0.004	-0.006	-0.005	0.01	-0.004	-0.003	-0.004	0.012	-0.007	-0.002	0.059	-0.007	-0.01	0.013	0.027	-0.005	0.023	-0.003	-0.005	-0.001	-0.004	-0.005	-0.002	0.003	-0.004	-0.01	-0.005	-0.004	-0.004	-0.002	-0.004	-0.005	-0.011	-0.008	-0.009	-0.003	0.009	-0.005	0.005	0.008	-0.004	-0.002	-0.004	-0.006	-0.005	-0.001	-0.001	0	0.027	0.006	-0.002	-0.002
surplus	0.019	-0.002	0.004	-0.002	-0.004	-0.002	-0.003	0.005	-0.006	-0.004	0.003	0.01	0.011	-0.002	-0.003	-0.001	-0.002	-0.002	0.046	-0.005	-0.005	-0.001	-0.005	-0.004	-0.003	-0.025	-0.004	-0.001	-0.003	0.021	-0.006	-0.003	-0.002	0.006	-0.005	0	-0.003	-0.003	-0.002	-0.003	0.005	-0.002	-0.001	-0.003	-0.004	-0.017	-0.004	-0.002	-0.002	-0.003	-0.001	-0.001	0	0.057	-0.006	-0.003	-0.002	-0.004	-0.001	-0.003	-0.002	-0.001	-0.004	-0.002	-0.001	-0.002	0.035	-0.002	-0.003	-0.004	-0.003	-0.001	-0.003	-0.002	-0.003	0.002	-0.003	-0.001	-0.002	0.049	-0.003	-0.01	-0.004	-0.002	-0.008	-0.002	-0.004	-0.001	-0.001	-0.003	-0.001	0.006	-0.003	-0.008	-0.004	-0.003	-0.003	-0.002	-0.003	0	-0.004	-0.006	-0.001	-0.002	0.016	-0.004	-0.001	-0.005	-0.003	-0.002	-0.003	0.014	-0.004	-0.001	-0.001	0	-0.001	-0.002	-0.001	-0.001
optic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ethic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
progress	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
heifer	0.002	-0.002	-0.003	-0.002	-0.004	-0.007	-0.003	-0.005	-0.007	-0.004	-0.004	-0.002	-0.008	-0.002	-0.003	-0.001	-0.003	-0.002	-0.002	-0.004	-0.005	-0.001	-0.006	-0.004	-0.01	0.019	-0.004	-0.002	-0.004	-0.012	-0.007	-0.003	-0.002	-0.001	-0.005	0	-0.004	-0.003	-0.002	-0.003	-0.002	-0.002	-0.001	-0.004	-0.005	-0.017	-0.005	-0.002	-0.002	-0.004	-0.001	-0.001	0	-0.006	0.019	-0.003	-0.002	-0.004	-0.001	-0.007	-0.002	-0.001	-0.004	-0.002	-0.001	-0.002	0.101	-0.002	-0.003	-0.005	-0.003	-0.001	-0.003	-0.002	-0.003	-0.007	-0.005	-0.001	-0.002	-0.002	-0.008	-0.01	0.021	-0.005	-0.008	-0.002	-0.004	-0.001	-0.003	-0.003	-0.001	-0.005	-0.003	-0.008	-0.004	-0.003	-0.003	-0.002	-0.003	-0.004	-0.008	-0.006	-0.008	-0.002	-0.002	-0.004	-0.001	-0.005	-0.003	-0.002	-0.003	-0.004	-0.004	-0.001	-0.001	0	-0.001	-0.003	-0.001	-0.002
calf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
inward	0.009	-0.002	-0.003	-0.002	-0.003	-0.004	-0.003	-0.005	-0.004	-0.004	-0.004	-0.002	0.012	-0.002	-0.003	-0.001	-0.002	-0.002	-0.001	-0.001	-0.005	-0.001	-0.005	-0.004	-0.009	0.02	0.022	-0.001	-0.001	0.005	-0.006	-0.003	-0.002	-0.001	-0.005	0	-0.003	-0.003	-0.002	-0.003	-0.002	-0.002	-0.001	-0.003	-0.004	-0.007	-0.003	-0.002	-0.002	-0.004	-0.001	-0.001	0	-0.006	0.009	-0.003	-0.002	-0.004	-0.001	-0.004	-0.002	-0.001	-0.004	-0.002	-0.001	-0.002	0.022	-0.002	-0.003	0.01	-0.003	-0.001	-0.003	0.005	-0.003	-0.006	-0.005	-0.001	-0.002	0.02	0.002	-0.006	-0.004	-0.005	-0.006	-0.002	-0.004	-0.001	-0.003	-0.003	-0.001	-0.004	-0.003	-0.008	-0.001	-0.003	-0.003	-0.002	-0.003	-0.004	-0.008	-0.006	0.009	-0.002	-0.002	-0.004	-0.001	-0.005	-0.003	-0.002	-0.003	-0.004	-0.001	-0.001	-0.001	0	-0.001	-0.002	-0.001	-0.001
suspending	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
patent	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
design	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
model	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
branch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
norm	0.034	-0.002	-0.003	-0.002	-0.004	-0.007	-0.003	-0.005	-0.007	-0.004	-0.004	-0.002	-0.008	-0.002	-0.003	-0.001	-0.003	0.016	-0.002	-0.004	-0.005	-0.001	-0.006	-0.004	-0.01	-0.004	-0.004	-0.002	-0.004	-0.012	0	-0.003	-0.002	-0.001	0.147	0	-0.004	-0.003	-0.002	-0.003	-0.002	-0.002	-0.001	-0.004	-0.005	-0.011	-0.005	-0.002	-0.002	-0.004	-0.001	-0.001	0	-0.006	-0.01	-0.003	-0.002	-0.004	-0.001	-0.008	0.009	-0.001	-0.004	-0.002	-0.001	-0.002	-0.004	-0.002	-0.003	-0.005	-0.003	-0.001	-0.003	-0.002	-0.003	-0.004	-0.005	-0.001	-0.002	-0.005	0.002	-0.011	-0.004	0.03	-0.008	-0.002	-0.004	-0.001	-0.003	-0.003	-0.001	-0.005	-0.003	-0.008	-0.004	-0.003	-0.003	-0.002	-0.003	-0.004	0.033	-0.006	-0.002	-0.002	-0.002	-0.004	-0.001	-0.003	-0.003	-0.002	-0.003	-0.004	-0.004	-0.001	-0.001	0	-0.001	-0.003	-0.001	-0.002
list	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
starch	0.018	-0.004	-0.004	-0.004	-0.006	-0.01	-0.005	-0.007	-0.009	0.005	0.002	-0.004	-0.008	-0.003	-0.002	-0.002	-0.004	-0.003	-0.002	-0.005	-0.007	0.032	-0.008	-0.006	0.003	0.035	-0.001	-0.002	-0.005	-0.005	-0.008	-0.004	-0.002	-0.002	-0.007	0	-0.005	-0.004	-0.002	-0.005	-0.003	-0.003	-0.002	-0.005	0.009	0.017	-0.005	-0.003	-0.003	-0.006	-0.002	-0.002	0	-0.009	-0.002	-0.004	-0.002	0.038	-0.001	-0.006	-0.003	-0.001	-0.005	-0.003	-0.002	-0.003	-0.001	-0.003	-0.004	-0.006	-0.005	-0.002	-0.004	-0.004	-0.005	-0.008	-0.007	-0.002	-0.002	0.011	-0.004	0.007	0.004	0.002	-0.008	-0.003	-0.004	-0.002	-0.005	0.041	-0.002	-0.004	-0.004	-0.011	0.007	0.003	0.003	-0.002	-0.004	-0.006	-0.009	-0.009	0	-0.004	-0.003	-0.006	-0.002	-0.007	-0.004	-0.001	-0.004	-0.006	-0.005	-0.001	-0.001	0	-0.001	-0.004	-0.002	-0.002
disparity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
malt	-0.016	-0.005	-0.006	-0.005	-0.008	0.008	-0.007	-0.01	-0.014	-0.009	-0.009	-0.005	0.012	-0.004	-0.006	-0.002	-0.005	-0.005	-0.003	-0.012	-0.008	-0.002	0.007	-0.009	0.156	0.071	-0.008	-0.003	-0.008	-0.025	-0.003	-0.006	-0.003	-0.003	-0.01	-0.001	-0.007	-0.006	-0.005	-0.007	-0.005	-0.004	-0.003	-0.008	0.008	0.032	-0.01	-0.005	-0.004	-0.009	-0.003	-0.002	-0.001	-0.011	-0.016	-0.006	-0.004	-0.009	-0.002	-0.016	-0.005	-0.001	-0.008	-0.004	-0.002	-0.004	0.018	-0.004	-0.006	-0.01	-0.007	-0.003	-0.006	-0.005	-0.007	-0.014	-0.011	-0.003	-0.003	-0.006	-0.016	-0.023	-0.009	-0.011	-0.017	-0.005	-0.008	-0.002	-0.007	-0.007	-0.003	0.022	-0.006	-0.003	-0.008	-0.006	-0.006	-0.003	-0.006	-0.008	-0.018	-0.013	-0.017	-0.005	-0.005	-0.008	-0.003	-0.011	-0.006	-0.004	-0.006	-0.009	-0.008	-0.002	-0.002	-0.001	-0.002	-0.005	-0.003	-0.003
annex	-0.006	0.107	-0.006	-0.005	-0.007	-0.001	-0.006	0.014	-0.009	-0.007	-0.001	-0.005	-0.005	-0.004	-0.006	-0.002	-0.005	-0.004	-0.003	-0.004	0.003	-0.002	0.012	0.036	0.015	0.047	-0.007	-0.003	-0.006	-0.002	0.01	-0.006	-0.003	-0.003	-0.009	-0.001	-0.007	-0.006	-0.005	-0.007	-0.004	-0.004	-0.002	-0.007	-0.005	-0.015	-0.008	-0.005	0	-0.008	-0.002	-0.002	-0.001	-0.012	0.027	-0.004	0.004	-0.008	-0.002	-0.012	-0.005	-0.001	-0.007	-0.004	-0.002	-0.004	0.019	-0.004	-0.005	0.002	-0.007	0.021	-0.006	-0.003	-0.007	0.006	-0.01	-0.003	-0.003	0.119	-0.002	-0.017	-0.008	0	-0.012	-0.004	-0.008	-0.002	-0.006	-0.007	-0.003	-0.002	-0.006	0.019	-0.005	-0.003	-0.006	-0.003	-0.006	-0.008	-0.011	-0.012	-0.008	-0.002	-0.004	-0.008	-0.003	-0.009	-0.006	-0.003	-0.006	-0.006	0.041	-0.002	-0.002	-0.001	-0.002	0.001	-0.003	-0.003
ii	-0.006	0.107	-0.006	-0.005	-0.007	-0.001	-0.006	0.014	-0.009	-0.007	-0.001	-0.005	-0.005	-0.004	-0.006	-0.002	-0.005	-0.004	-0.003	-0.004	0.003	-0.002	0.012	0.036	0.015	0.047	-0.007	-0.003	-0.006	-0.002	0.01	-0.006	-0.003	-0.003	-0.009	-0.001	-0.007	-0.006	-0.005	-0.007	-0.004	-0.004	-0.002	-0.007	-0.005	-0.015	-0.008	-0.005	0	-0.008	-0.002	-0.002	-0.001	-0.012	0.027	-0.004	0.004	-0.008	-0.002	-0.012	-0.005	-0.001	-0.007	-0.004	-0.002	-0.004	0.019	-0.004	-0.005	0.002	-0.007	0.021	-0.006	-0.003	-0.007	0.006	-0.01	-0.003	-0.003	0.119	-0.002	-0.017	-0.008	0	-0.012	-0.004	-0.008	-0.002	-0.006	-0.007	-0.003	-0.002	-0.006	0.019	-0.005	-0.003	-0.006	-0.003	-0.006	-0.008	-0.011	-0.012	-0.008	-0.002	-0.004	-0.008	-0.003	-0.009	-0.006	-0.003	-0.006	-0.006	0.041	-0.002	-0.002	-0.001	-0.002	0.001	-0.003	-0.003
underproduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
target	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fattening	-0.021	-0.004	-0.005	-0.004	-0.007	-0.011	-0.005	-0.009	-0.007	0.017	-0.007	-0.004	-0.014	0.07	-0.005	-0.002	-0.004	0.001	-0.003	-0.001	-0.008	-0.001	-0.01	-0.007	-0.018	-0.016	-0.007	-0.003	-0.006	0.034	-0.011	-0.005	-0.003	-0.002	0.003	-0.001	-0.006	-0.005	-0.004	-0.002	0.028	-0.003	-0.002	-0.006	-0.008	-0.024	-0.008	0	-0.004	-0.007	-0.002	0.004	-0.001	-0.011	-0.002	-0.005	-0.003	-0.007	-0.001	-0.008	-0.004	-0.001	-0.007	-0.004	-0.002	-0.003	0.048	-0.003	-0.005	0.003	-0.005	-0.002	-0.005	-0.003	-0.004	-0.007	-0.007	-0.001	-0.003	-0.004	-0.013	0.138	-0.007	0.008	-0.014	0.006	-0.007	-0.002	-0.006	-0.006	-0.002	-0.008	-0.005	-0.014	-0.006	-0.005	-0.004	-0.003	-0.002	-0.007	-0.008	-0.011	-0.014	-0.004	-0.004	-0.007	0.008	-0.009	-0.005	-0.003	-0.005	-0.008	-0.007	-0.002	-0.002	-0.001	-0.002	-0.005	-0.002	-0.003
